STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
01,001,2017,dist_MAT,23.5,Alabama,AL,Autauga County
01,003,2017,dist_MAT,19.68,Alabama,AL,Baldwin County
01,005,2017,dist_MAT,17,Alabama,AL,Barbour County
01,007,2017,dist_MAT,19,Alabama,AL,Bibb County
01,009,2017,dist_MAT,13.62,Alabama,AL,Blount County
01,011,2017,dist_MAT,22.33,Alabama,AL,Bullock County
01,013,2017,dist_MAT,53.75,Alabama,AL,Butler County
01,015,2017,dist_MAT,8.5,Alabama,AL,Calhoun County
01,017,2017,dist_MAT,16,Alabama,AL,Chambers County
01,019,2017,dist_MAT,16.25,Alabama,AL,Cherokee County
01,021,2017,dist_MAT,13.14,Alabama,AL,Chilton County
01,023,2017,dist_MAT,26.5,Alabama,AL,Choctaw County
01,025,2017,dist_MAT,49.78,Alabama,AL,Clarke County
01,027,2017,dist_MAT,22.17,Alabama,AL,Clay County
01,029,2017,dist_MAT,18.5,Alabama,AL,Cleburne County
01,031,2017,dist_MAT,21.6,Alabama,AL,Coffee County
01,033,2017,dist_MAT,8.4,Alabama,AL,Colbert County
01,035,2017,dist_MAT,30.4,Alabama,AL,Conecuh County
01,037,2017,dist_MAT,17.8,Alabama,AL,Coosa County
01,039,2017,dist_MAT,37.9,Alabama,AL,Covington County
01,041,2017,dist_MAT,38.83,Alabama,AL,Crenshaw County
01,043,2017,dist_MAT,9.83,Alabama,AL,Cullman County
01,045,2017,dist_MAT,11.29,Alabama,AL,Dale County
01,047,2017,dist_MAT,48,Alabama,AL,Dallas County
01,049,2017,dist_MAT,22.13,Alabama,AL,DeKalb County
01,051,2017,dist_MAT,9.33,Alabama,AL,Elmore County
01,053,2017,dist_MAT,15.25,Alabama,AL,Escambia County
01,055,2017,dist_MAT,8.82,Alabama,AL,Etowah County
01,057,2017,dist_MAT,27.83,Alabama,AL,Fayette County
01,059,2017,dist_MAT,18.29,Alabama,AL,Franklin County
01,061,2017,dist_MAT,8.38,Alabama,AL,Geneva County
01,063,2017,dist_MAT,29,Alabama,AL,Greene County
01,065,2017,dist_MAT,25.6,Alabama,AL,Hale County
01,067,2017,dist_MAT,7.6,Alabama,AL,Henry County
01,069,2017,dist_MAT,9.73,Alabama,AL,Houston County
01,071,2017,dist_MAT,15.35,Alabama,AL,Jackson County
01,073,2017,dist_MAT,5.42,Alabama,AL,Jefferson County
01,075,2017,dist_MAT,21.17,Alabama,AL,Lamar County
01,077,2017,dist_MAT,12.88,Alabama,AL,Lauderdale County
01,079,2017,dist_MAT,23.67,Alabama,AL,Lawrence County
01,081,2017,dist_MAT,8.45,Alabama,AL,Lee County
01,083,2017,dist_MAT,14.1,Alabama,AL,Limestone County
01,085,2017,dist_MAT,33.8,Alabama,AL,Lowndes County
01,087,2017,dist_MAT,20.83,Alabama,AL,Macon County
01,089,2017,dist_MAT,5.68,Alabama,AL,Madison County
01,091,2017,dist_MAT,45.89,Alabama,AL,Marengo County
01,093,2017,dist_MAT,11.83,Alabama,AL,Marion County
01,095,2017,dist_MAT,20.78,Alabama,AL,Marshall County
01,097,2017,dist_MAT,8.95,Alabama,AL,Mobile County
01,099,2017,dist_MAT,45.09,Alabama,AL,Monroe County
01,101,2017,dist_MAT,10.79,Alabama,AL,Montgomery County
01,103,2017,dist_MAT,16.56,Alabama,AL,Morgan County
01,105,2017,dist_MAT,39.5,Alabama,AL,Perry County
01,107,2017,dist_MAT,22,Alabama,AL,Pickens County
01,109,2017,dist_MAT,37.14,Alabama,AL,Pike County
01,111,2017,dist_MAT,26.6,Alabama,AL,Randolph County
01,113,2017,dist_MAT,9.5,Alabama,AL,Russell County
01,115,2017,dist_MAT,17.92,Alabama,AL,St. Clair County
01,117,2017,dist_MAT,9.69,Alabama,AL,Shelby County
