Year,County,Opioid Poisoning Deaths
2003,Albany,4
2003,Allegany,0
2003,Bronx,105
2003,Broome,5
2003,Cattaraugus,1
2003,Cayuga,1
2003,Chautauqua,3
2003,Chemung,2
2003,Chenango,1
2003,Clinton,1
2003,Columbia,3
2003,Cortland,0
2003,Delaware,0
2003,Dutchess,4
2003,Erie,12
2003,Essex,1
2003,Franklin,1
2003,Fulton,1
2003,Genesee,0
2003,Greene,3
2003,Hamilton,0
2003,Herkimer,2
2003,Jefferson,1
2003,Kings,151
2003,Lewis,0
2003,Livingston,1
2003,Madison,0
2003,Monroe,20
2003,Montgomery,0
2003,Nassau,58
2003,New York,119
2003,Niagara,6
2003,Oneida,1
2003,Onondaga,6
2003,Ontario,2
2003,Orange,9
2003,Orleans,0
2003,Oswego,0
2003,Otsego,0
2003,Putnam,1
2003,Queens,101
2003,Rensselaer,2
2003,Richmond,22
2003,Rockland,5
2003,Saratoga,2
2003,Schenectady,1
2003,Schoharie,2
2003,Schuyler,0
2003,Seneca,0
2003,St Lawrence,0
2003,Steuben,2
2003,Suffolk,63
2003,Sullivan,3
2003,Tioga,0
2003,Tompkins,0
2003,Ulster,5
2003,Warren,1
2003,Washington,1
2003,Wayne,2
2003,Westchester,27
2003,Wyoming,3
2003,Yates,0
2004,Albany,7
2004,Allegany,0
2004,Bronx,79
2004,Broome,1
2004,Cattaraugus,1
2004,Cayuga,1
2004,Chautauqua,5
2004,Chemung,2
2004,Chenango,0
2004,Clinton,0
2004,Columbia,4
2004,Cortland,0
2004,Delaware,0
2004,Dutchess,5
2004,Erie,17
2004,Essex,1
2004,Franklin,0
2004,Fulton,0
2004,Genesee,0
2004,Greene,5
2004,Hamilton,0
2004,Herkimer,1
2004,Jefferson,1
2004,Kings,146
2004,Lewis,0
2004,Livingston,0
2004,Madison,0
2004,Monroe,8
2004,Montgomery,1
2004,Nassau,31
2004,New York,92
2004,Niagara,3
2004,Oneida,0
2004,Onondaga,1
2004,Ontario,0
2004,Orange,4
2004,Orleans,1
2004,Oswego,0
2004,Otsego,0
2004,Putnam,1
2004,Queens,73
2004,Rensselaer,0
2004,Richmond,36
2004,Rockland,3
2004,Saratoga,2
2004,Schenectady,1
2004,Schoharie,0
2004,Schuyler,0
2004,Seneca,1
2004,St Lawrence,1
2004,Steuben,0
2004,Suffolk,49
2004,Sullivan,3
2004,Tioga,2
2004,Tompkins,1
2004,Ulster,2
2004,Warren,0
2004,Washington,0
2004,Wayne,0
2004,Westchester,7
2004,Wyoming,0
2004,Yates,0
2005,Albany,10
2005,Allegany,1
2005,Bronx,95
2005,Broome,1
2005,Cattaraugus,1
2005,Cayuga,1
2005,Chautauqua,3
2005,Chemung,2
2005,Chenango,0
2005,Clinton,0
2005,Columbia,4
2005,Cortland,0
2005,Delaware,1
2005,Dutchess,19
2005,Erie,44
2005,Essex,0
2005,Franklin,1
2005,Fulton,1
2005,Genesee,0
2005,Greene,3
2005,Hamilton,0
2005,Herkimer,1
2005,Jefferson,1
2005,Kings,147
2005,Lewis,1
2005,Livingston,1
2005,Madison,0
2005,Monroe,14
2005,Montgomery,1
2005,Nassau,68
2005,New York,123
2005,Niagara,11
2005,Oneida,2
2005,Onondaga,8
2005,Ontario,3
2005,Orange,13
2005,Orleans,2
2005,Oswego,1
2005,Otsego,3
2005,Putnam,2
2005,Queens,91
2005,Rensselaer,2
2005,Richmond,43
2005,Rockland,7
2005,Saratoga,1
2005,Schenectady,2
2005,Schoharie,1
2005,Schuyler,0
2005,Seneca,0
2005,St Lawrence,0
2005,Steuben,2
2005,Suffolk,112
2005,Sullivan,8
2005,Tioga,0
2005,Tompkins,1
2005,Ulster,2
2005,Warren,0
2005,Washington,2
2005,Wayne,1
2005,Westchester,31
2005,Wyoming,0
2005,Yates,0
2006,Albany,10
2006,Allegany,1
2006,Bronx,110
2006,Broome,0
2006,Cattaraugus,1
2006,Cayuga,1
2006,Chautauqua,5
2006,Chemung,5
2006,Chenango,0
2006,Clinton,3
2006,Columbia,3
2006,Cortland,0
2006,Delaware,1
2006,Dutchess,11
2006,Erie,29
2006,Essex,1
2006,Franklin,0
2006,Fulton,1
2006,Genesee,1
2006,Greene,1
2006,Hamilton,0
2006,Herkimer,3
2006,Jefferson,2
2006,Kings,163
2006,Lewis,2
2006,Livingston,1
2006,Madison,3
2006,Monroe,26
2006,Montgomery,0
2006,Nassau,84
2006,New York,124
2006,Niagara,12
2006,Oneida,8
2006,Onondaga,7
2006,Ontario,9
2006,Orange,24
2006,Orleans,1
2006,Oswego,1
2006,Otsego,1
2006,Putnam,5
2006,Queens,99
2006,Rensselaer,6
2006,Richmond,35
2006,Rockland,4
2006,Saratoga,1
2006,Schenectady,0
2006,Schoharie,3
2006,Schuyler,1
2006,Seneca,0
2006,St Lawrence,2
2006,Steuben,4
2006,Suffolk,115
2006,Sullivan,13
2006,Tioga,0
2006,Tompkins,1
2006,Ulster,5
2006,Warren,3
2006,Washington,1
2006,Wayne,2
2006,Westchester,40
2006,Wyoming,2
2006,Yates,0
2007,Albany,22
2007,Allegany,1
2007,Bronx,97
2007,Broome,6
2007,Cattaraugus,3
2007,Cayuga,0
2007,Chautauqua,7
2007,Chemung,3
2007,Chenango,1
2007,Clinton,6
2007,Columbia,3
2007,Cortland,1
2007,Delaware,1
2007,Dutchess,24
2007,Erie,38
2007,Essex,0
2007,Franklin,1
2007,Fulton,1
2007,Genesee,1
2007,Greene,6
2007,Hamilton,0
2007,Herkimer,2
2007,Jefferson,2
2007,Kings,142
2007,Lewis,0
2007,Livingston,3
2007,Madison,0
2007,Monroe,42
2007,Montgomery,1
2007,Nassau,91
2007,New York,78
2007,Niagara,10
2007,Oneida,12
2007,Onondaga,5
2007,Ontario,0
2007,Orange,17
2007,Orleans,3
2007,Oswego,0
2007,Otsego,2
2007,Putnam,3
2007,Queens,86
2007,Rensselaer,4
2007,Richmond,37
2007,Rockland,3
2007,Saratoga,1
2007,Schenectady,4
2007,Schoharie,0
2007,Schuyler,0
2007,Seneca,1
2007,St Lawrence,3
2007,Steuben,7
2007,Suffolk,139
2007,Sullivan,10
2007,Tioga,1
2007,Tompkins,1
2007,Ulster,15
2007,Warren,3
2007,Washington,2
2007,Wayne,1
2007,Westchester,55
2007,Wyoming,3
2007,Yates,0
2008,Albany,18
2008,Allegany,3
2008,Bronx,88
2008,Broome,8
2008,Cattaraugus,2
2008,Cayuga,4
2008,Chautauqua,8
2008,Chemung,5
2008,Chenango,2
2008,Clinton,7
2008,Columbia,1
2008,Cortland,3
2008,Delaware,1
2008,Dutchess,28
2008,Erie,52
2008,Essex,0
2008,Franklin,1
2008,Fulton,2
2008,Genesee,4
2008,Greene,3
2008,Hamilton,0
2008,Herkimer,5
2008,Jefferson,5
2008,Kings,137
2008,Lewis,0
2008,Livingston,4
2008,Madison,2
2008,Monroe,40
2008,Montgomery,0
2008,Nassau,95
2008,New York,80
2008,Niagara,17
2008,Oneida,5
2008,Onondaga,27
2008,Ontario,3
2008,Orange,28
2008,Orleans,1
2008,Oswego,6
2008,Otsego,1
2008,Putnam,4
2008,Queens,92
2008,Rensselaer,5
2008,Richmond,45
2008,Rockland,11
2008,Saratoga,13
2008,Schenectady,5
2008,Schoharie,0
2008,Schuyler,1
2008,Seneca,1
2008,St Lawrence,3
2008,Steuben,5
2008,Suffolk,152
2008,Sullivan,14
2008,Tioga,2
2008,Tompkins,4
2008,Ulster,9
2008,Warren,1
2008,Washington,1
2008,Wayne,2
2008,Westchester,45
2008,Wyoming,1
2008,Yates,0
2009,Albany,9
2009,Allegany,3
2009,Bronx,92
2009,Broome,6
2009,Cattaraugus,0
2009,Cayuga,4
2009,Chautauqua,5
2009,Chemung,6
2009,Chenango,2
2009,Clinton,0
2009,Columbia,7
2009,Cortland,3
2009,Delaware,6
2009,Dutchess,20
2009,Erie,54
2009,Essex,0
2009,Franklin,2
2009,Fulton,1
2009,Genesee,8
2009,Greene,6
2009,Hamilton,1
2009,Herkimer,5
2009,Jefferson,8
2009,Kings,120
2009,Lewis,1
2009,Livingston,4
2009,Madison,6
2009,Monroe,38
2009,Montgomery,1
2009,Nassau,84
2009,New York,68
2009,Niagara,12
2009,Oneida,6
2009,Onondaga,32
2009,Ontario,0
2009,Orange,15
2009,Orleans,1
2009,Oswego,10
2009,Otsego,5
2009,Putnam,1
2009,Queens,77
2009,Rensselaer,11
2009,Richmond,46
2009,Rockland,13
2009,Saratoga,7
2009,Schenectady,7
2009,Schoharie,1
2009,Schuyler,0
2009,Seneca,3
2009,St Lawrence,6
2009,Steuben,3
2009,Suffolk,133
2009,Sullivan,3
2009,Tioga,0
2009,Tompkins,2
2009,Ulster,13
2009,Warren,0
2009,Washington,1
2009,Wayne,5
2009,Westchester,45
2009,Wyoming,0
2009,Yates,2
2010,Albany,15
2010,Allegany,3
2010,Bronx,71
2010,Broome,10
2010,Cattaraugus,1
2010,Cayuga,7
2010,Chautauqua,5
2010,Chemung,5
2010,Chenango,3
2010,Clinton,4
2010,Columbia,1
2010,Cortland,2
2010,Delaware,2
2010,Dutchess,32
2010,Erie,47
2010,Essex,0
2010,Franklin,0
2010,Fulton,2
2010,Genesee,5
2010,Greene,4
2010,Hamilton,0
2010,Herkimer,2
2010,Jefferson,3
2010,Kings,130
2010,Lewis,2
2010,Livingston,2
2010,Madison,4
2010,Monroe,35
2010,Montgomery,1
2010,Nassau,65
2010,New York,50
2010,Niagara,21
2010,Oneida,13
2010,Onondaga,22
2010,Ontario,2
2010,Orange,25
2010,Orleans,1
2010,Oswego,10
2010,Otsego,1
2010,Putnam,5
2010,Queens,87
2010,Rensselaer,9
2010,Richmond,47
2010,Rockland,9
2010,Saratoga,2
2010,Schenectady,2
2010,Schoharie,0
2010,Schuyler,0
2010,Seneca,1
2010,St Lawrence,5
2010,Steuben,3
2010,Suffolk,138
2010,Sullivan,7
2010,Tioga,1
2010,Tompkins,2
2010,Ulster,10
2010,Warren,1
2010,Washington,0
2010,Wayne,3
2010,Westchester,28
2010,Wyoming,0
2010,Yates,0
2011,Albany,19
2011,Allegany,5
2011,Bronx,93
2011,Broome,8
2011,Cattaraugus,1
2011,Cayuga,8
2011,Chautauqua,5
2011,Chemung,8
2011,Chenango,1
2011,Clinton,7
2011,Columbia,4
2011,Cortland,1
2011,Delaware,2
2011,Dutchess,27
2011,Erie,61
2011,Essex,2
2011,Franklin,2
2011,Fulton,4
2011,Genesee,2
2011,Greene,7
2011,Hamilton,0
2011,Herkimer,3
2011,Jefferson,12
2011,Kings,137
2011,Lewis,0
2011,Livingston,3
2011,Madison,6
2011,Monroe,48
2011,Montgomery,0
2011,Nassau,102
2011,New York,64
2011,Niagara,16
2011,Oneida,7
2011,Onondaga,32
2011,Ontario,3
2011,Orange,38
2011,Orleans,1
2011,Oswego,13
2011,Otsego,4
2011,Putnam,4
2011,Queens,90
2011,Rensselaer,5
2011,Richmond,66
2011,Rockland,8
2011,Saratoga,8
2011,Schenectady,5
2011,Schoharie,1
2011,Schuyler,0
2011,Seneca,1
2011,St Lawrence,6
2011,Steuben,4
2011,Suffolk,216
2011,Sullivan,25
2011,Tioga,3
2011,Tompkins,5
2011,Ulster,17
2011,Warren,1
2011,Washington,0
2011,Wayne,4
2011,Westchester,52
2011,Wyoming,0
2011,Yates,1
2012,Albany,14
2012,Allegany,3
2012,Bronx,109
2012,Broome,13
2012,Cattaraugus,4
2012,Cayuga,2
2012,Chautauqua,8
2012,Chemung,12
2012,Chenango,3
2012,Clinton,3
2012,Columbia,2
2012,Cortland,2
2012,Delaware,3
2012,Dutchess,39
2012,Erie,56
2012,Essex,0
2012,Franklin,5
2012,Fulton,6
2012,Genesee,2
2012,Greene,10
2012,Hamilton,0
2012,Herkimer,0
2012,Jefferson,10
2012,Kings,141
2012,Lewis,1
2012,Livingston,6
2012,Madison,4
2012,Monroe,48
2012,Montgomery,0
2012,Nassau,111
2012,New York,109
2012,Niagara,20
2012,Oneida,11
2012,Onondaga,42
2012,Ontario,4
2012,Orange,41
2012,Orleans,0
2012,Oswego,10
2012,Otsego,2
2012,Putnam,12
2012,Queens,94
2012,Rensselaer,12
2012,Richmond,67
2012,Rockland,20
2012,Saratoga,4
2012,Schenectady,5
2012,Schoharie,0
2012,Schuyler,0
2012,Seneca,5
2012,St Lawrence,3
2012,Steuben,2
2012,Suffolk,200
2012,Sullivan,10
2012,Tioga,1
2012,Tompkins,8
2012,Ulster,16
2012,Warren,1
2012,Washington,3
2012,Wayne,1
2012,Westchester,51
2012,Wyoming,2
2012,Yates,1
2013,Albany,24
2013,Allegany,1
2013,Bronx,105
2013,Broome,22
2013,Cattaraugus,3
2013,Cayuga,12
2013,Chautauqua,11
2013,Chemung,9
2013,Chenango,4
2013,Clinton,5
2013,Columbia,7
2013,Cortland,0
2013,Delaware,1
2013,Dutchess,52
2013,Erie,94
2013,Essex,4
2013,Franklin,1
2013,Fulton,3
2013,Genesee,2
2013,Greene,5
2013,Hamilton,0
2013,Herkimer,7
2013,Jefferson,12
2013,Kings,127
2013,Lewis,3
2013,Livingston,3
2013,Madison,4
2013,Monroe,67
2013,Montgomery,3
2013,Nassau,131
2013,New York,95
2013,Niagara,26
2013,Oneida,17
2013,Onondaga,47
2013,Ontario,9
2013,Orange,46
2013,Orleans,5
2013,Oswego,18
2013,Otsego,3
2013,Putnam,12
2013,Queens,121
2013,Rensselaer,11
2013,Richmond,61
2013,Rockland,23
2013,Saratoga,12
2013,Schenectady,11
2013,Schoharie,2
2013,Schuyler,3
2013,Seneca,2
2013,St Lawrence,9
2013,Steuben,5
2013,Suffolk,208
2013,Sullivan,17
2013,Tioga,4
2013,Tompkins,7
2013,Ulster,25
2013,Warren,0
2013,Washington,1
2013,Wayne,2
2013,Westchester,71
2013,Wyoming,8
2013,Yates,1
2014,Albany,23
2014,Allegany,1
2014,Bronx,102
2014,Broome,27
2014,Cattaraugus,1
2014,Cayuga,5
2014,Chautauqua,14
2014,Chemung,7
2014,Chenango,7
2014,Clinton,6
2014,Columbia,9
2014,Cortland,5
2014,Delaware,2
2014,Dutchess,39
2014,Erie,112
2014,Essex,3
2014,Franklin,2
2014,Fulton,1
2014,Genesee,2
2014,Greene,9
2014,Hamilton,1
2014,Herkimer,4
2014,Jefferson,13
2014,Kings,163
2014,Lewis,1
2014,Livingston,2
2014,Madison,8
2014,Monroe,88
2014,Montgomery,3
2014,Nassau,143
2014,New York,106
2014,Niagara,25
2014,Oneida,36
2014,Onondaga,56
2014,Ontario,10
2014,Orange,58
2014,Orleans,2
2014,Oswego,15
2014,Otsego,3
2014,Putnam,9
2014,Queens,113
2014,Rensselaer,7
2014,Richmond,73
2014,Rockland,16
2014,Saratoga,19
2014,Schenectady,5
2014,Schoharie,0
2014,Schuyler,0
2014,Seneca,1
2014,St Lawrence,10
2014,Steuben,6
2014,Suffolk,199
2014,Sullivan,20
2014,Tioga,7
2014,Tompkins,14
2014,Ulster,19
2014,Warren,3
2014,Washington,3
2014,Wayne,3
2014,Westchester,67
2014,Wyoming,0
2014,Yates,2
2015,Albany,30
2015,Allegany,2
2015,Bronx,175
2015,Broome,28
2015,Cattaraugus,11
2015,Cayuga,15
2015,Chautauqua,14
2015,Chemung,10
2015,Chenango,6
2015,Clinton,9
2015,Columbia,6
2015,Cortland,7
2015,Delaware,6
2015,Dutchess,55
2015,Erie,238
2015,Essex,7
2015,Franklin,4
2015,Fulton,2
2015,Genesee,9
2015,Greene,8
2015,Hamilton,0
2015,Herkimer,6
2015,Jefferson,9
2015,Kings,197
2015,Lewis,1
2015,Livingston,4
2015,Madison,6
2015,Monroe,81
2015,Montgomery,5
2015,Nassau,172
2015,New York,113
2015,Niagara,43
2015,Oneida,35
2015,Onondaga,71
2015,Ontario,6
2015,Orange,66
2015,Orleans,3
2015,Oswego,15
2015,Otsego,7
2015,Putnam,13
2015,Queens,118
2015,Rensselaer,17
2015,Richmond,65
2015,Rockland,27
2015,Saratoga,18
2015,Schenectady,12
2015,Schoharie,2
2015,Schuyler,1
2015,Seneca,4
2015,St Lawrence,12
2015,Steuben,4
2015,Suffolk,210
2015,Sullivan,19
2015,Tioga,7
2015,Tompkins,11
2015,Ulster,27
2015,Warren,4
2015,Washington,1
2015,Wayne,3
2015,Westchester,85
2015,Wyoming,3
2015,Yates,2
2016,Albany,28
2016,Allegany,2
2016,Bronx,266
2016,Broome,57
2016,Cattaraugus,7
2016,Cayuga,16
2016,Chautauqua,24
2016,Chemung,5
2016,Chenango,5
2016,Clinton,8
2016,Columbia,13
2016,Cortland,8
2016,Delaware,10
2016,Dutchess,51
2016,Erie,274
2016,Essex,4
2016,Franklin,2
2016,Fulton,4
2016,Genesee,14
2016,Greene,12
2016,Hamilton,1
2016,Herkimer,8
2016,Jefferson,18
2016,Kings,270
2016,Lewis,4
2016,Livingston,11
2016,Madison,14
2016,Monroe,159
2016,Montgomery,3
2016,Nassau,191
2016,New York,200
2016,Niagara,46
2016,Oneida,50
2016,Onondaga,129
2016,Ontario,11
2016,Orange,68
2016,Orleans,6
2016,Oswego,23
2016,Otsego,11
2016,Putnam,21
2016,Queens,191
2016,Rensselaer,13
2016,Richmond,106
2016,Rockland,37
2016,Saratoga,13
2016,Schenectady,29
2016,Schoharie,4
2016,Schuyler,0
2016,Seneca,3
2016,St Lawrence,14
2016,Steuben,17
2016,Suffolk,344
2016,Sullivan,16
2016,Tioga,5
2016,Tompkins,17
2016,Ulster,54
2016,Warren,5
