Year,Region,Race or Ethnicity,Sex,Age Group,Opioid Poisoning Deaths
2003,NYC,Black Non Hispanic,F,9-Jan,0
2003,NYC,Black Non Hispanic,F,19-Oct,0
2003,NYC,Black Non Hispanic,F,65-74,0
2003,NYC,Black Non Hispanic,F,75-84,0
2003,NYC,Black Non Hispanic,F,85+,0
2003,NYC,Black Non Hispanic,F,<1,0
2003,NYC,Black Non Hispanic,F,20-24,1
2003,NYC,Black Non Hispanic,F,25-34,3
2003,NYC,Black Non Hispanic,F,55-64,3
2003,NYC,Black Non Hispanic,F,35-44,10
2003,NYC,Black Non Hispanic,F,45-54,12
2003,NYC,Black Non Hispanic,F,Total,29
2003,NYC,Black Non Hispanic,M,9-Jan,0
2003,NYC,Black Non Hispanic,M,19-Oct,0
2003,NYC,Black Non Hispanic,M,20-24,0
2003,NYC,Black Non Hispanic,M,75-84,0
2003,NYC,Black Non Hispanic,M,85+,0
2003,NYC,Black Non Hispanic,M,<1,0
2003,NYC,Black Non Hispanic,M,65-74,4
2003,NYC,Black Non Hispanic,M,55-64,6
2003,NYC,Black Non Hispanic,M,25-34,7
2003,NYC,Black Non Hispanic,M,35-44,20
2003,NYC,Black Non Hispanic,M,45-54,35
2003,NYC,Black Non Hispanic,M,Total,72
2003,NYC,Hispanic,F,9-Jan,0
2003,NYC,Hispanic,F,65-74,0
2003,NYC,Hispanic,F,85+,0
2003,NYC,Hispanic,F,<1,0
2003,NYC,Hispanic,F,19-Oct,1
2003,NYC,Hispanic,F,20-24,1
2003,NYC,Hispanic,F,55-64,1
2003,NYC,Hispanic,F,75-84,1
2003,NYC,Hispanic,F,25-34,4
2003,NYC,Hispanic,F,35-44,14
2003,NYC,Hispanic,F,45-54,15
2003,NYC,Hispanic,F,Total,37
2003,NYC,Hispanic,M,9-Jan,0
2003,NYC,Hispanic,M,75-84,0
2003,NYC,Hispanic,M,85+,0
2003,NYC,Hispanic,M,<1,0
2003,NYC,Hispanic,M,65-74,2
2003,NYC,Hispanic,M,19-Oct,4
2003,NYC,Hispanic,M,55-64,5
2003,NYC,Hispanic,M,20-24,6
2003,NYC,Hispanic,M,25-34,27
2003,NYC,Hispanic,M,45-54,29
2003,NYC,Hispanic,M,35-44,48
2003,NYC,Hispanic,M,Total,121
2003,NYC,Not Stated,F,9-Jan,0
2003,NYC,Not Stated,F,20-24,0
2003,NYC,Not Stated,F,25-34,0
2003,NYC,Not Stated,F,45-54,0
2003,NYC,Not Stated,F,65-74,0
2003,NYC,Not Stated,F,75-84,0
2003,NYC,Not Stated,F,85+,0
2003,NYC,Not Stated,F,<1,0
2003,NYC,Not Stated,F,19-Oct,1
2003,NYC,Not Stated,F,35-44,1
2003,NYC,Not Stated,F,55-64,1
2003,NYC,Not Stated,F,Total,3
2003,NYC,Not Stated,M,9-Jan,0
2003,NYC,Not Stated,M,19-Oct,0
2003,NYC,Not Stated,M,20-24,0
2003,NYC,Not Stated,M,65-74,0
2003,NYC,Not Stated,M,75-84,0
2003,NYC,Not Stated,M,85+,0
2003,NYC,Not Stated,M,<1,0
2003,NYC,Not Stated,M,25-34,1
2003,NYC,Not Stated,M,55-64,1
2003,NYC,Not Stated,M,35-44,4
2003,NYC,Not Stated,M,45-54,6
2003,NYC,Not Stated,M,Total,12
2003,NYC,Other Non Hispanic,F,9-Jan,0
2003,NYC,Other Non Hispanic,F,19-Oct,0
2003,NYC,Other Non Hispanic,F,20-24,0
2003,NYC,Other Non Hispanic,F,25-34,0
2003,NYC,Other Non Hispanic,F,35-44,0
2003,NYC,Other Non Hispanic,F,45-54,0
2003,NYC,Other Non Hispanic,F,55-64,0
2003,NYC,Other Non Hispanic,F,65-74,0
2003,NYC,Other Non Hispanic,F,75-84,0
2003,NYC,Other Non Hispanic,F,85+,0
2003,NYC,Other Non Hispanic,F,<1,0
2003,NYC,Other Non Hispanic,F,Total,0
2003,NYC,Other Non Hispanic,M,9-Jan,0
2003,NYC,Other Non Hispanic,M,19-Oct,0
2003,NYC,Other Non Hispanic,M,20-24,0
2003,NYC,Other Non Hispanic,M,35-44,0
2003,NYC,Other Non Hispanic,M,45-54,0
2003,NYC,Other Non Hispanic,M,65-74,0
2003,NYC,Other Non Hispanic,M,75-84,0
2003,NYC,Other Non Hispanic,M,85+,0
2003,NYC,Other Non Hispanic,M,<1,0
2003,NYC,Other Non Hispanic,M,25-34,1
2003,NYC,Other Non Hispanic,M,55-64,1
2003,NYC,Other Non Hispanic,M,Total,2
2003,NYC,White Non Hispanic,F,9-Jan,0
2003,NYC,White Non Hispanic,F,19-Oct,0
2003,NYC,White Non Hispanic,F,20-24,0
2003,NYC,White Non Hispanic,F,65-74,0
2003,NYC,White Non Hispanic,F,75-84,0
2003,NYC,White Non Hispanic,F,85+,0
2003,NYC,White Non Hispanic,F,<1,0
2003,NYC,White Non Hispanic,F,55-64,3
2003,NYC,White Non Hispanic,F,25-34,5
2003,NYC,White Non Hispanic,F,35-44,21
2003,NYC,White Non Hispanic,F,45-54,21
2003,NYC,White Non Hispanic,F,Total,50
2003,NYC,White Non Hispanic,M,9-Jan,0
2003,NYC,White Non Hispanic,M,75-84,0
2003,NYC,White Non Hispanic,M,85+,0
2003,NYC,White Non Hispanic,M,<1,0
